Age,Real Stock Balance,Real Priv Pension Balance,State Pension (Gross),Priv Payout (Gross),Stock Withdrawal (Gross),Partial Salary (Gross),Total Taxes & GKV,State Tax,Priv Tax,Salary Tax,Stock Tax,Vorabpauschale,GKV Cost,Rentenpunkte
42,105100.86327876702,45015.299947201645,0.0,0.0,0.0,0.0,12518.109964107638,0.0,0.0,12338.732242297501,0.0,179.37772181013702,0.0,23.861081164330812
43,115000.22060821277,49203.399678663605,0.0,0.0,0.0,0.0,12560.977394372017,0.0,0.0,12338.732242297501,0.0,222.24515207451668,0.0,25.01617126135838
44,125243.65319690987,53546.16346962037,0.0,0.0,0.0,0.0,12605.112226471481,0.0,0.0,12338.732242297501,0.0,266.37998417398063,0.0,26.171261358385948
45,135843.33752382206,58049.30297281027,0.0,0.0,0.0,0.0,12650.563727028852,0.0,0.0,12338.7322422975,0.0,311.831484731352,0.0,27.326351455413516
46,146811.87667021804,62718.74076894731,0.0,0.0,0.0,0.0,12697.382802718133,0.0,0.0,12338.7322422975,0.0,358.65056042063384,0.0,28.481441552441083
47,158162.3153496479,67560.61815616763,0.0,0.0,0.0,0.0,12745.622059738896,0.0,0.0,12338.732242297501,0.0,406.88981744139636,0.0,29.63653164946865
48,169908.15546580087,72581.3032271348,0.0,0.0,0.0,0.0,12795.3358653464,0.0,0.0,12338.732242297501,0.0,456.603623048899,0.0,30.79162174649622
49,182063.37221681548,77787.39924442866,0.0,0.0,0.0,0.0,12846.206650841323,0.0,0.0,12338.358481628398,0.0,507.84816921292446,0.0,31.946711843523786
50,194642.43076526857,80660.04214123174,0.0,0.0,0.0,0.0,12899.413780778352,0.0,0.0,12338.732242297503,0.0,560.6815384808498,0.0,33.101801940551354
51,207660.30349374414,83638.7700504238,0.0,0.0,0.0,0.0,12953.522253751531,0.0,0.0,12338.358481628398,0.0,615.1637721231318,0.0,34.25689203757892
52,221132.48786658217,86727.50062910948,0.0,0.0,0.0,0.0,13010.089182939613,0.0,0.0,12338.732242297501,0.0,671.3569406421113,0.0,35.41198213460649
53,235075.02491913197,89930.29621116562,0.0,0.0,0.0,0.0,13068.057459025378,0.0,0.0,12338.7322422975,0.0,729.325216727877,0.0,36.56707223163406
54,249504.51839658545,93251.36915006976,0.0,0.0,0.0,0.0,13127.867193045357,0.0,0.0,12338.732242297501,0.0,789.134950747857,0.0,37.722162328661625
55,264438.1545652388,96695.08735903527,0.0,0.0,0.0,0.0,13189.586991157352,0.0,0.0,12338.732242297501,0.0,850.8547488598514,0.0,38.87725242568919
56,279893.72271983814,100265.98005574128,0.0,0.0,0.0,0.0,13252.91403546974,0.0,0.0,12338.358481628398,0.0,914.5555538413413,0.0,40.03234252271676
57,295889.63641149283,103968.74371921153,0.0,0.0,0.0,0.0,13319.042971028692,0.0,0.0,12338.732242297501,0.0,980.310728731192,0.0,41.18743261974433
58,312444.95542150154,107808.24826667752,0.0,0.0,0.0,0.0,13386.92838568071,0.0,0.0,12338.732242297501,0.0,1048.1961433832087,0.0,42.342522716771896
59,329579.4085073299,111789.54345854929,0.0,0.0,0.0,0.0,13456.648745662893,0.0,0.0,12338.358481628398,0.0,1118.2902640344946,0.0,43.49761281379946
60,347313.41694789665,115917.86553991854,0.0,0.0,0.0,0.0,13529.40648829269,0.0,0.0,12338.732242297501,0.0,1190.6742459951886,0.0,44.65270291082703
61,365668.1189162835,120198.64412732802,0.0,0.0,0.0,0.0,13603.79051119827,0.0,0.0,12338.358481628398,0.0,1265.432029569872,0.0,45.8077930078546
62,384665.3947089699,114907.49168018051,0.0,9730.017669684987,0.0,0.0,14991.270603356412,0.0,741.6512286252125,12906.968935406388,0.0,1342.6504393248113,0.0,46.96288310488217
63,404327.8928617181,109656.84338271074,0.0,9494.114372576623,0.0,0.0,15052.50344692761,0.0,730.8797013415626,12899.204458766835,0.0,1422.4192868192135,0.0,48.117973201909734
64,424679.0571832939,104443.43446663291,0.0,9262.971638175874,0.0,0.0,15109.442264372403,0.0,716.1346065954907,12888.476180854112,0.0,1504.8314769228002,0.0,49.2730632989373
65,445743.1547393024,99264.04906257389,0.0,9036.420001597358,0.0,0.0,15161.810544729418,0.0,697.1435042463986,12874.683922636703,0.0,1589.983117846319,0.0,50.42815339596487
66,467545.3048195531,94115.52679627664,0.0,8814.285207561032,0.0,0.0,15218.199573275924,0.0,678.7166287999642,12861.509309459936,0.0,1677.9736350160238,0.0,51.58324349299244
67,465302.39435122133,88595.1394711235,26319.834159864466,7154.675766933176,9641.55957586565,0.0,8884.975389155908,3004.584589195055,292.32326123334553,0.0,950.299726374501,1768.905888927781,2868.861923425227,51.58324349299244
68,462872.78383073385,83140.34484829636,26319.834159864466,6993.223162349231,9790.889381454568,0.0,8866.244195570916,2995.541478886931,284.2163985761688,0.0,955.3268958214942,1762.2974988610945,2868.8619234252265,51.58324349299244
69,460256.36317232554,77749.47168827373,26319.834159864466,6834.580795270716,9937.47420020079,0.0,8846.77254490499,2986.5675861387076,276.3265823771923,0.0,960.1330568988941,1754.8833960649708,2868.861923425227,51.58324349299244
70,457454.35945381987,72420.95068055276,26319.834159864466,6678.617716096162,10079.974200717725,0.0,8825.090163703979,2977.6680042119365,268.64804534806365,0.0,963.248100924379,1746.6640897943735,2868.861923425227,51.58324349299244
71,454476.9503834056,67153.32760765344,26319.834159864466,6525.191581187517,10209.456900928173,0.0,8792.128132033597,2969.097583302196,261.1967204377039,0.0,955.3264127585584,1737.6454921099128,2868.8619234252265,51.58324349299244
72,451311.5866519388,61945.2805043813,26319.834159864466,6374.144886200337,10348.806696961821,0.0,8770.65552474935,2960.343218361824,253.6707215100769,0.0,959.9098743312898,1727.8697871209326,2868.861923425227,51.58324349299244
73,447966.6179776949,56795.64233169415,26319.834159864466,6225.299749445567,10476.928477328067,0.0,8739.349380616442,2951.705206724889,246.31243002671096,0.0,955.1828264270691,1717.286994012545,2868.861923425227,51.58324349299244
74,444432.76330641087,51703.431440156084,26319.834159864466,6078.450516027266,10611.581997692398,0.0,8715.798518084142,2943.4507164479896,239.39565716441072,0.0,958.1583714215982,1705.9318496249173,2868.861923425227,51.58324349299244
75,440713.4998585648,46667.89333223099,26319.834159864466,5933.352987991804,10739.863766467093,0.0,8686.818499667557,2935.556639979851,232.67106400574912,0.0,955.9612829089282,1693.7675893478022,2868.861923425227,51.58324349299244
76,436804.03979478625,41688.55932693071,26319.834159864466,5789.708247163497,10870.092077325893,0.0,8660.443639022806,2927.5316743278872,226.0879270317125,0.0,957.1529540878935,1680.8091601500844,2868.861923425227,51.58324349299244
77,432703.74967091397,36765.33144594262,26319.834159864466,5647.137452359264,10998.037236291417,0.0,8632.046824550367,2919.889917108624,219.67260965577583,0.0,956.5843927644031,1667.037981596338,2868.8619234252265,51.58324349299244
78,428410.5890037354,31898.609792114097,26319.834159864466,5505.140821054536,11125.095614652457,0.0,8602.522895082411,2911.5570530381715,212.87804407182875,0.0,956.7735735718305,1652.452300975354,2868.861923425227,51.58324349299244
79,423920.6959083403,27089.49256249577,26319.834159864462,5363.027206714335,11253.056078189058,0.0,8572.962087064776,2903.4712805659174,206.38741492048257,0.0,957.1968234228964,1637.0446447302525,2868.8619234252265,51.58324349299244
80,419229.26424235647,22340.108817505097,26319.83415986447,5219.784815840596,11382.80203525586,0.0,8543.221141673914,2895.9010247217584,200.20077195574137,0.0,957.4572828365524,1620.800138734633,2868.861923425227,51.58324349299244
81,414329.75198420737,17654.215882256543,26319.834159864466,5073.822354244292,11515.993844970119,0.0,8513.350423483414,2888.084366609676,194.00049268142385,0.0,958.7035757771827,1603.7000649899048,2868.861923425227,51.58324349299244
82,409213.9328106253,13038.389990711235,26319.834159864466,4922.386157924258,11654.213305297562,0.0,8482.152271255321,2880.0796198967737,187.45956034712597,0.0,960.0325152976329,1585.7186522885615,2868.861923425227,51.58324349299244
83,403868.775504612,8504.7923901468,26319.834159864466,4760.005407932551,11802.136624512132,0.0,8448.79947401085,2870.7039168693004,180.14770009779937,0.0,962.2626479873244,1566.8232856311986,2868.8619234252265,51.58324349299244
84,398263.7552336682,4079.423411197771,26319.83415986447,4573.052197394401,11977.054015028167,0.0,8416.902218533603,2861.0436082342617,172.5967481248384,0.0,967.4380847040894,1546.9618540451856,2868.8619234252274,51.58324349299244
85,392163.4941178295,0.0,26319.834159864466,4150.261398902806,12383.343051392612,0.0,8379.4499047858,2839.449782672543,155.78779731745777,0.0,989.339097048716,1526.0113043218587,2868.8619234252265,51.58324349299244
86,381885.97327315947,0.0,26319.834159864466,0.0,16463.983130849225,0.0,8286.835273482673,2611.3392474975,0.0,0.0,1303.6161119187434,1503.0179906412027,2868.8619234252274,51.58324349299244
87,371463.95354698005,0.0,26319.83415986447,0.0,16446.92617264446,0.0,8229.81413738383,2611.3392474975,0.0,0.0,1286.5591526681603,1463.0538137929439,2868.861923425227,51.58324349299244
88,360894.323806012,0.0,26319.834159864466,0.0,16430.766362020902,0.0,8173.070826448218,2611.3392474975,0.0,0.0,1270.3993442846295,1422.4703112408622,2868.861923425227,51.58324349299244
89,350172.4505348414,0.0,26319.834159864466,0.0,16416.97703666761,0.0,8118.066716004114,2611.3392474975,0.0,0.0,1256.610020264418,1381.2555248169692,2868.861923425227,51.58324349299244
90,339295.6938662277,0.0,26319.834159864466,0.0,16403.49183871079,0.0,8062.717297665283,2611.3392474975,0.0,0.0,1243.1248157643815,1339.391310978175,2868.861923425227,51.58324349299244
